album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
Flower Boy,14,3R1Vu4Ws7UitwDxDHTol0P,"Enjoy Right Now, Today",spotify:track:3R1Vu4Ws7UitwDxDHTol0P,0.037,0.729,0.675,0.847,0.0891,-6.008,0.187,162.126,0.654,55,"Tyler, the creator"
IGOR,1,51RN0kzWd7xeR4th5HsEtW,IGOR'S THEME,spotify:track:51RN0kzWd7xeR4th5HsEtW,0.00559,0.467,0.672,0.243,0.607,-7.371,0.377,163.1,0.0648,64,"Tyler, the creator"
IGOR,2,5hVghJ4KaYES3BFUATCYn0,EARFQUAKE,spotify:track:5hVghJ4KaYES3BFUATCYn0,0.23,0.554,0.498,5.98E-06,0.795,-8.866,0.0685,79.635,0.413,79,"Tyler, the creator"
IGOR,3,4f8Mh5wuWHOsfXtzjrJB3t,I THINK,spotify:track:4f8Mh5wuWHOsfXtzjrJB3t,0.00881,0.826,0.579,0,0.129,-8.241,0.0801,121.075,0.431,70,"Tyler, the creator"
IGOR,4,5e4LIAQI0bClLazNf2gZV0,EXACTLY WHAT YOU RUN FROM YOU END UP CHASING,spotify:track:5e4LIAQI0bClLazNf2gZV0,0.927,0,0.478,0,0.335,-16.569,0,0,0,6,"Tyler, the creator"
IGOR,5,5QvBXUm5MglLJ3iBfTX2Wo,RUNNING OUT OF TIME,spotify:track:5QvBXUm5MglLJ3iBfTX2Wo,0.296,0.36,0.391,0.000406,0.129,-10.6,0.0528,84.281,0.162,66,"Tyler, the creator"
IGOR,6,0fv2KH6hac06J86hBUTcSf,NEW MAGIC WAND,spotify:track:0fv2KH6hac06J86hBUTcSf,0.0967,0.621,0.73,0.000131,0.673,-5.414,0.107,139.566,0.464,67,"Tyler, the creator"
IGOR,7,1nXZnTALNXiPlvXotqHm66,A BOY IS A GUN*,spotify:track:1nXZnTALNXiPlvXotqHm66,0.575,0.417,0.689,0,0.496,-8.302,0.178,79.568,0.505,67,"Tyler, the creator"
IGOR,8,0wEC0GNF74lAqrEFZJMl1m,PUPPET,spotify:track:0wEC0GNF74lAqrEFZJMl1m,0.00235,0.508,0.557,0.0134,0.588,-8.967,0.0478,77.572,0.199,63,"Tyler, the creator"
IGOR,9,6bOkaEXc5CopinGazSLokx,WHAT'S GOOD,spotify:track:6bOkaEXc5CopinGazSLokx,0.0567,0.458,0.909,4.26E-06,0.11,-6.553,0.487,118.227,0.449,62,"Tyler, the creator"
IGOR,10,1hz7SRTGUNAtIQ46qiNv2p,"GONE, GONE / THANK YOU",spotify:track:1hz7SRTGUNAtIQ46qiNv2p,0.216,0.518,0.492,0.0012,0.146,-8.436,0.193,78.848,0.471,74,"Tyler, the creator"
IGOR,11,5A0M6B0RBSXSNWv0wcppZ9,I DON'T LOVE YOU ANYMORE,spotify:track:5A0M6B0RBSXSNWv0wcppZ9,0.352,0.638,0.522,0.0663,0.165,-9.814,0.0932,142.952,0.584,62,"Tyler, the creator"
IGOR,12,5TxRUOsGeWeRl3xOML59Ai,ARE WE STILL FRIENDS?,spotify:track:5TxRUOsGeWeRl3xOML59Ai,0.128,0.216,0.497,2.39E-06,0.111,-8.025,0.0371,187.308,0.313,65,"Tyler, the creator"
